Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
South America,6.3,88,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.59613257,8.79737497,8.62097867,9.01472117,9.03546747,8.80372267,8.67763737,8.49665097,8.77238877,8.18492537,1,87.6612903
Indonesia & Asia,7.1,88.1,Dry Process,Modern Hybrids,7.70665877,8.80724137,8.12729447,8.77937497,9.22230047,8.52301777,8.40245907,7.02321327,9.48232167,8.02611817,4,87.6572673
Indonesia & Asia,6.85,88,Honey Process,"Typica Types, Modern Hybrids",8.50049199,8.61037339,8.60897059,8.70970619,8.80980579,8.51433079,8.67053309,8.49788369,8.89174259,8.18616189,2,87.6487341
Central America,6.8,88,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.50093651,8.71055601,8.60942751,8.79768181,9.31398961,8.61166191,8.75958351,8.49832821,8.70400331,8.49383161,1,87.6471499
Africa,6.45,88,Dry Process,Heirloom Types,8.69610406,8.80048086,8.52332116,8.79907706,9.31537636,8.01791816,8.55337146,7.69877156,9.38822086,8.20735846,2,87.6327204
Africa,6.05,88,Wet Process,No,8.69652842,8.80090712,8.71604632,8.79950332,8.52412222,8.61348342,8.57317832,8.50014972,8.77591802,8.00016312,2,87.6289348
Africa,5.95,88,Dry Process,No,8.6970455,8.9011499,8.3227646,8.7867825,9.0395414,8.7108862,8.55431,8.106765,9.1835043,8.1972506,1.5,87.623764
Africa,6.05,88,Dry Process,Modern Hybrids,8.60029769,8.81274009,8.02072879,8.77366999,8.71302009,8.40654829,8.46587729,7.90557979,9.01280859,8.28872939,3,87.6196391
Africa,5.75,88,Wet Process,Bourbon Types,8.70004409,8.71589219,8.61476839,8.80301319,8.90413709,8.71388379,8.69571629,8.77942979,8.79259909,8.28051609,1,87.5923671
South America,6.25,87.9,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.70429777,8.79482627,8.62246967,9.01217437,8.71445247,8.70429777,8.65570137,8.18776107,9.00609657,8.49792267,1,87.5870163
Indonesia & Asia,6.15,87.9,Dry Process,"Typica Types, Modern Hybrids",8.6013927,8.8026571,8.612999,8.8012533,8.8138571,8.3107366,8.4669571,8.007297,9.1847372,8.2981129,2,87.511435
